rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,uses_primary_site_reference,uses_winter_reference,uses_r1_upstream,uses_breast_h,uses_primary_h,validation_layer,n_splits,n_successful_splits,mean_split_log_loss,sd_split_log_loss,mean_split_bal_accuracy,sd_split_bal_accuracy,mean_split_accuracy,mean_split_brier,mean_split_ece,mean_split_top_prob,mean_split_weak_support_rate,mean_primary_reference_sites,mean_primary_reference_rows,pooled_log_loss,pooled_bal_accuracy,pooled_accuracy,pooled_brier,pooled_ece,pooled_mean_top_prob,pooled_weak_support_rate,pooled_log_loss_rank,pooled_bal_accuracy_rank
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,blocked_site_cv,4,4,0.5463007910838655,0.14693765705248588,0.8008928571428571,0.21325894881974045,0.7762314439946019,0.18471580171153004,0.26591095567954987,0.659043864478527,0,9.25,56,0.5326498735154209,0.7593582887700534,0.7857142857142857,0.17833733177895048,0.12438751322167922,0.6613267724926065,0,1,1
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,blocked_site_cv,4,4,0.6602985060474688,0.137595268830519,0.5830357142857143,0.2041944309873766,0.6194331983805668,0.236889503618135,0.19364280447937968,0.6371008632977895,0,9.25,56,0.6525595956594766,0.570855614973262,0.625,0.233002361542076,0.10089492575819005,0.6301982120493366,0,2,2
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,blocked_site_cv,4,4,0.6863937697388323,0.26436387612117385,0.5821428571428571,0.18345697747710224,0.6143724696356275,0.24183162214106763,0.2627347938344709,0.6578573321458446,0,9.25,56,0.6617333774045949,0.5695187165775402,0.6428571428571429,0.2308690270362209,0.1416401484562658,0.651834953026065,0,3,3
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,leave_one_site_out_cv,11,11,0.5345772236143433,0.30200527750091505,0.7384615384615385,0.315196942285352,0.6956043956043956,0.1848999349139925,0.3378470619793828,0.688038527040726,0,11,66.81818181818181,0.5367381787826346,0.6310160427807486,0.6785714285714286,0.18663647529502542,0.13342802139831816,0.7016446698658018,0,1,2
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,leave_one_site_out_cv,11,11,0.5388794431828599,0.23056778320126584,0.7951048951048951,0.23491841029249239,0.7697802197802198,0.182868563486604,0.32707616455508015,0.6442295763136894,0,11,66.81818181818181,0.5901958825364207,0.6764705882352942,0.7142857142857143,0.20353689178903359,0.11593365292042783,0.623328250320711,0,2,1
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,leave_one_site_out_cv,11,11,0.5793555736422212,0.24169484251273743,0.7337412587412587,0.323181489072266,0.6725940725940726,0.20139410629034427,0.34703722775341717,0.6371570659501087,0,11,66.81818181818181,0.626056255746109,0.517379679144385,0.5892857142857143,0.22168826765311114,0.1014157474120564,0.6224779791579315,0,3,3
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_soft_hierarchical,co_leading_staged,staged_r1c_then_breast_cnh_no_primary_h,FALSE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,4,4,1.0434622153311088,0.15341482299072404,0.3253968253968254,0.10408632578257143,0.3626012145748988,0.20993398763732507,0.24245489002827902,0.4858939936591162,0.6104082321187585,9.25,56,1.0663266279899961,0.3074866310160428,0.35714285714285715,0.21466856110778942,0.20599607374289325,0.48939324548235086,0.5892857142857143,1,2
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,staged_soft_hierarchical,exploratory_extension,staged_r1c_then_breast_cnh_plus_training_fold_winter_reference,FALSE,TRUE,TRUE,TRUE,FALSE,blocked_site_cv,4,4,1.0600304115968802,0.2270971234500267,0.4087301587301587,0.1934229729377188,0.46803306342780027,0.2108431172120786,0.2315042074129437,0.4782869526819424,0.7211538461538461,9.25,56,1.0961431378946043,0.4055258467023173,0.44642857142857145,0.2176693949169401,0.12048293374280906,0.4761849717149772,0.75,2,1
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_multinomial,co_leading_direct,primary_h_proxy_variance_high_caution,FALSE,FALSE,FALSE,TRUE,TRUE,blocked_site_cv,4,4,1.1316337305261994,0.2056352420148198,0.38373015873015875,0.10591298833718873,0.33021255060728744,0.23098237644993935,0.20307158449571128,0.4863729143699712,0.6624493927125505,9.25,56,1.168515983545654,0.2905525846702317,0.32142857142857145,0.2374349585181463,0.16391649550099768,0.4853450669295691,0.6785714285714286,3,3
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,ridge_multinomial,exploratory_extension,direct_cnh_plus_training_fold_winter_reference,FALSE,TRUE,FALSE,TRUE,TRUE,blocked_site_cv,4,4,1.1595785410604218,0.19046881103418825,0.37182539682539684,0.09902841185359582,0.31705465587044535,0.2377481712369074,0.22025982952306972,0.4871248891455062,0.6524966261808367,9.25,56,1.1937665628748488,0.2798573975044563,0.30357142857142855,0.2436307968022195,0.21019807947108682,0.4865599930835266,0.6607142857142857,4,4
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_soft_hierarchical,co_leading_staged,staged_r1c_then_breast_cnh_no_primary_h,FALSE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,11,11,1.161997061895537,0.46599569287227643,0.24116161616161616,0.26163310170965226,0.3061272061272061,0.23412370423591564,0.3727050070900387,0.5052342670422303,0.5768897768897768,11,66.81818181818181,1.0913747978520494,0.36185383244206776,0.4107142857142857,0.21930289739794925,0.10954635980436668,0.5149867390502124,0.5,1,1
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,staged_soft_hierarchical,exploratory_extension,staged_r1c_then_breast_cnh_plus_training_fold_winter_reference,FALSE,TRUE,TRUE,TRUE,FALSE,leave_one_site_out_cv,11,11,1.1274781115184915,0.2845057403792469,0.22727272727272727,0.23596995186213474,0.3007159507159507,0.2306032873113298,0.3698178107518893,0.4909429978802109,0.5978687978687979,11,66.81818181818181,1.112513538566334,0.3422459893048128,0.39285714285714285,0.22267900025947512,0.12743862509016843,0.5062585154179856,0.5535714285714286,2,2
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_multinomial,co_leading_direct,primary_h_proxy_variance_high_caution,FALSE,FALSE,FALSE,TRUE,TRUE,leave_one_site_out_cv,11,11,1.1821832442487292,0.31470244402863806,0.16893939393939394,0.20555111925324712,0.20952380952380953,0.24490088945130123,0.33553190822136003,0.4682614199894835,0.7671328671328671,11,66.81818181818181,1.2292113974746661,0.2210338680926916,0.25,0.24749270652071764,0.20386917498145352,0.4538691749814535,0.8035714285714286,3,4
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,ridge_multinomial,exploratory_extension,direct_cnh_plus_training_fold_winter_reference,FALSE,TRUE,FALSE,TRUE,TRUE,leave_one_site_out_cv,11,11,1.1518555767936474,0.28519863442020205,0.275,0.32302820654274483,0.32316017316017315,0.2383512974559569,0.3863143162122064,0.47390794776039546,0.6592074592074593,11,66.81818181818181,1.2390476768242193,0.2557932263814617,0.2857142857142857,0.2502842928049913,0.22856616748517308,0.4792610765254304,0.625,4,3
