rung,candidate_id,candidate_label,model_family,predictors,distance_vars,distance_name,uses_breast_h,uses_primary_h,uses_paired_distance,preferred_default,caution_level,constraint_note
rung1,r1_a_breast_cn,Rung 1 A: Breast-only C/N,ridge_glmnet_binomial,normalised_d13c_Breast|normalised_d15n_Breast,,,FALSE,FALSE,FALSE,TRUE,baseline_cn_benchmark,C/N benchmark.
rung1,r1_b_primary_cn,Rung 1 B: Primary-only C/N,ridge_glmnet_binomial,normalised_d13c_Primary|normalised_d15n_Primary,,,FALSE,FALSE,FALSE,TRUE,primary_cn_limited_biological_support,Primary C/N retained as benchmark but with limited direct biological support.
rung1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_glmnet_binomial,abs_delta_d13c|abs_delta_d15n|paired_distance_cn,abs_delta_d13c|abs_delta_d15n,paired_distance_cn,FALSE,FALSE,TRUE,TRUE,paired_cn_benchmark,C/N paired contrast benchmark with within-fold standardized distance.
rung1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_glmnet_binomial,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n,,,FALSE,FALSE,FALSE,TRUE,paired_cn_benchmark,C/N structured paired benchmark.
rung1,r1_e_breast_cnh,Rung 1 E: Breast-only C/N/H,ridge_glmnet_binomial,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,,,TRUE,FALSE,FALSE,TRUE,breast_h_provisional_pending_triplicate_check,Includes breast H only; interpret results as provisional pending confirmation that the museum H triplicate workbook is fully incorporated.
rung1,r1_f_paired_contrast_cnh,Rung 1 F: Paired-contrast C/N/H,ridge_glmnet_binomial,abs_delta_d13c|abs_delta_d15n|abs_delta_d2h|paired_distance_cnh,abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,paired_distance_cnh,FALSE,TRUE,TRUE,TRUE,primary_h_provisional_pending_triplicate_check,Uses paired H contrasts and therefore imports primary H caution; interpret results as provisional pending the museum H triplicate check.
rung1,r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,ridge_glmnet_binomial,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,,,TRUE,TRUE,FALSE,TRUE,primary_h_provisional_pending_triplicate_check,Uses breast H plus paired H contrasts; interpret gains as provisional pending the museum H triplicate check.
rung1,r1_h_primary_cnh,Rung 1 H: Primary-only C/N/H,ridge_glmnet_binomial,normalised_d13c_Primary|normalised_d15n_Primary|normalised_d2h_Primary,,,FALSE,TRUE,FALSE,FALSE,primary_h_provisional_pending_triplicate_check,Primary H comparator only; not a preferred operational default and still provisional pending the museum H triplicate check.
rung2,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,normalised_d13c_Breast|normalised_d15n_Breast,,,FALSE,FALSE,FALSE,TRUE,baseline_cn_benchmark,C/N benchmark.
rung2,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,,,TRUE,FALSE,FALSE,TRUE,breast_h_provisional_pending_triplicate_check,Includes breast H only; interpret results as provisional pending confirmation that the museum H triplicate workbook is fully incorporated.
rung2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,,,TRUE,TRUE,FALSE,TRUE,primary_h_provisional_pending_triplicate_check,Paired H contrasts import primary H caution and require clear validated gains; treat any gains as provisional pending the museum H triplicate check.
rung2,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|paired_distance_cnh,abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,paired_distance_cnh,TRUE,TRUE,TRUE,FALSE,primary_h_provisional_pending_triplicate_check,Paired distance uses C/N/H and therefore imports primary H caution; treat any gains as provisional pending the museum H triplicate check.
