"dataset","step","rows_in","rows_out","rows_changed","action","detail"
"assay_qc","load_adjudication_tables",40,40,0,"read","Loaded workbook-parsed assay QC adjudication, affected-sample, manual-review, and sheet-rule tables."
"museum_metadata","read_inventory",202,202,0,"read","Loaded museum inventory workbook."
"museum_metadata","drop_invalid_inventory_keys",202,118,-84,"filter","Excluded inventory rows with missing or placeholder canonical keys."
"museum_metadata","collapse_to_canonical_metadata",118,118,0,"deduplicate","Collapsed inventory rows to one canonical row per specimen_id + feather_type."
"museum_triplicate_cn","read_sheet",27,27,0,"read","Loaded triplicate C/N sheet."
"museum_triplicate_cn","pivot_to_long",27,54,27,"reshape","Pivoted C/N triplicate rows to one row per isotope measurement."
"museum_triplicate_h","read_sheet",14,14,0,"read","Loaded triplicate H sheet."
"museum_triplicate_h","retain_raw_rows_pre_qc",14,14,0,"filter","Retained all non-missing H values before assay QC and metadata-join eligibility checks."
"museum_triplicate_o","read_sheet",46,46,0,"read","Loaded O sheet used for both triplicate and batch 3/4 museum data."
"museum_triplicate_o","select_triplicate_block",46,15,-31,"filter","Retained the first O-measurement block (rows 2-16 after read_excel) to mirror the current QMD triplicate section."
"museum_triplicate_o","drop_missing_d18o",15,15,0,"filter","Dropped triplicate O rows with missing d18O values."
"museum_triplicate_o","retain_raw_rows_pre_qc",15,15,0,"filter","Retained all non-missing O values before assay QC adjudication."
"museum_batch_cn","read_sheet",54,54,0,"read","Loaded batch 3/4 C/N sheet."
"museum_batch_cn","drop_missing_d15n_rows",54,41,-13,"filter","Retained rows with non-missing d15N, mirroring the current QMD measurement selection."
"museum_batch_cn","pivot_to_long",41,82,41,"reshape","Pivoted batch 3/4 C/N rows to one row per isotope measurement."
"museum_batch_o","select_batch_block",46,29,-17,"filter","Retained the second O-measurement block (rows 18-46 after read_excel) to mirror the current QMD batch 3/4 section."
"museum_batch_o","drop_missing_d18o",29,29,0,"filter","Dropped batch O rows with missing d18O values."
"museum_batch_h","read_sheet",29,29,0,"read","Loaded batch 4 H sheet."
"museum_batch_h","drop_missing_d2h",29,29,0,"filter","Dropped batch H rows with missing d2H values."
"museum_measurements","apply_assay_qc",223,221,-2,"adjudicate","Applied assay-level QC decisions to museum isotope measurements while preserving raw values."
"museum_measurements","join_metadata_exact",221,221,0,"join","Joined museum measurements to metadata exactly on standardized specimen_id + feather_type."
"museum_screening_ready","filter_breast",63,57,-6,"filter","Restricted museum screening candidates to breast feathers."
"museum_screening_ready","filter_homogenate",57,51,-6,"filter","Restricted museum screening candidates to homogenate measurements to avoid silent region averaging across barb / rachis / homogenate."
"museum_screening_ready","filter_winter_months",51,35,-16,"filter","Restricted museum screening candidates to May-August collection months."
"live_phenotypes","read_sheet",554,554,0,"read","Loaded live bird LIMS sample submission form."
"live_phenotypes","collapse_to_ring_level",554,277,-277,"deduplicate","Collapsed LIMS phenotype rows to one canonical row per ring."
"live_cn_measurements","read_sheet",159,159,0,"read","Loaded live bird batch 5 C/N sheet."
"live_cn_measurements","drop_blank_rows",159,158,-1,"filter","Dropped blank trailing rows from live bird C/N sheet."
"live_cn_measurements","join_ring_level_phenotypes",316,316,0,"join","Joined live bird assays to ring-level phenotypes exactly on ring."
"live_cn_measurements","apply_assay_qc",316,308,-8,"adjudicate","Applied assay-level QC adjudications to live bird C/N measurements."
"live_cn_measurements","collapse_lab_green_averages",24,12,-12,"collapse","Collapsed repeated batch 5 rows with lab-approved green averages to one adjudicated sample-isotope row."
"live_screening_ready","filter_known_status",74,56,-18,"filter","Restricted live bird screening candidates to rings with known migratory status."
"live_screening_ready","filter_complete_cn_pair",56,56,0,"filter","Restricted live bird screening candidates to complete primary + breast C/N pairs."
