rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,uses_primary_site_reference,uses_winter_reference,uses_r1_upstream,uses_breast_h,uses_primary_h,fit_status,validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,fold_design_note,rung1_all_classes_present,rung2_all_classes_present,n_analysis,primary_reference_rows,primary_reference_sites,museum_reference_rows_core3,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,predictors_used
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,37,54,10,12,0.4480975146107049,0.8285714285714285,0.8421052631578947,0.13740842818073082,0.26625602845247187,0.17620222129569277,0.5998034354489983,5.273559185121782,0.665903041862202,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold2,13,2,Kaitorete|Rangipo Desert,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,43,58,10,12,0.46927234256308953,0.875,0.8461538461538461,0.15867310020266862,0.08930968092971221,0.21445584281846897,0.4128866827639393,1.5751253291771237,0.738872471581254,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold3,12,4,Cass River|Pisa Range|Tiwai Point|Napier,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,52,8,12,0.5038365223799763,1,1,0.15958654647861292,0.0973905764148404,0.3902322207191913,0.13153900106298275,268.92415338282404,0.6097677792808087,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold4,12,3,Te Anau|Kaikoura|Porters Beach,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,60,9,12,0.7639967847816915,0.5,0.4166666666666667,0.28319513198410784,0.10349571736640982,0.2827535378848465,-0.859379356171134,0.6138283142341276,0.6216321651898433,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,37,54,10,12,0.6235954938812479,0.42857142857142855,0.631578947368421,0.2161509952430873,1.5594671015792159,0.17225245838910322,0.7783958970408186,2.4639864640705293,0.5686964232963565,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold2,13,2,Kaitorete|Rangipo Desert,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,43,58,10,12,0.4838406094834578,0.875,0.8461538461538461,0.16437910598416425,0.09801726456693789,0.2113573968226558,0.3715772317865904,1.3972045190173648,0.7293834733944586,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold3,12,4,Cass River|Pisa Range|Tiwai Point|Napier,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,52,8,12,0.7386470002750882,0.4571428571428572,0.5,0.2720529418459103,0.0973905764148404,0.1353867011156133,-0.048271259796200394,-0.5036229899166935,0.6353867011156134,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold4,12,3,Te Anau|Kaikoura|Porters Beach,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,60,9,12,0.7951109205500809,0.5714285714285714,0.5,0.29497497139937806,0.059224054593879416,0.25557466159014636,-0.8329592049243704,-0.008404961236202423,0.6149368553847293,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,37,54,10,12,0.5071241420898209,0.8285714285714285,0.8421052631578947,0.1614619223074395,0.5604434177909186,0.22494462031335954,0.6668590426079666,8.406202372344305,0.6171606428445352,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold2,13,2,Kaitorete|Rangipo Desert,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,43,58,10,12,0.5602991925646204,0.5,0.6153846153846154,0.19051419510504655,0.9141122898746427,0.1364035905446041,0.044270736713390366,8.618325883904165,0.6054809265473525,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
